Sr_No,Review_Title,Review_Text,Review_Rating,Buyer_Type,Review_Date,Upvote,Downvote,Read,Sum_of_Up_Down,No_of_Pics,Gender,Len_before,Num_Sentence,No_QMark,No_ExMark,No_Upper,No_proper,Emoji_Count,h
114,Mind-blowing purchase,received product..nice packaging and excellent overall experience,5,Certified Buyer,2017-05-01 00:00:00,18,7,,25,0,M,7,1,0,,0,,0,0.72
115,battery,"the battery life of the cellphone delivered is very poor.
 charged at 84% in night and in mornin the phone was switched off without any use.
 dont know whats the problem",1,Certified Buyer,2017-05-01 00:00:00,74,47,,121,0,M,31,3,0,,0,,0,0.61
116,Great product,Apple i phone 7 And at the price point of 34999/- Its a must Buy thing...Best i phone till date...Very gud packaging.Fully genuine product...If u want an i phone then go for it without any 2nd thought...,5,Certified Buyer,2018-10-01 00:00:00,43,24,,67,2,M,37,1,0,,0,,0,0.64
117,Delightful,Nice,4,Certified Buyer,2017-01-01 00:00:00,24,11,,35,0,M,1,1,0,,0,,0,0.69
118,Perfect product!,Perfect camera perfect running but battery backup phone hit problem,5,Certified Buyer,4 months ago,16,6,,22,1,M,10,1,0,,0,,0,0.73
119,A Worthy Upgrade from IPhone 6 Plus,"Shift to IPhone 7 from IPhone 6 Plus
 3 features that standout are:
 1. Loud and Clear Speakers
 2. Camera quality is top notch, a tough competition to Galaxy S7
 3. Waterproofing
 
 Worthy upgrade from IPhone 6 Plus",5,Certified Buyer,2016-10-01 00:00:00,161,120,,281,0,M,38,4,0,,0,,0,0.57
120,Terrific,Thanks to Flipkart for delivering the product very early. The product is really worth for the amount spent on it. It is perfectly fitting in hand and very comfortable to use. The camera is also good and genuine one. Battery is also average and not that bad as we expect it to be. Really enjoying using it.,5,Certified Buyer,2018-10-01 00:00:00,14,5,,19,2,M,57,6,0,,0,,0,0.74
124,"5 Star service, Awesome experience",Flipkart always gives his best when it comes to quality and delivery. Thanks for making purchases so easy and effortable. 5Star to all your services and offers you being to us. 5star to Flawless service and trust full offers,5,Certified Buyer,2017-05-01 00:00:00,17,8,,25,0,M,39,4,0,,0,,0,0.68
125,Terrific purchase,Got I phone 7 128 GB from Flipkart. My personal experience is really good with Flipkart. For genuine products only trust on Flipkart.... no snap deal no amazon....,5,Certified Buyer,2017-01-01 00:00:00,87,60,,147,0,M,28,3,0,,0,,0,0.59
126,Amazing service from Apple & Flipkart,"On Time Delivery Best Part Of Flipkart.
 
 Amazing Deal as always with Flipkart.
 
 Coming to iPhone 7. Really nice feel.
 
 Apple has the best product they know what people want. All the features in one hand. Really a fan of apple.
 
 Flipkart delivered what they promised.",5,Certified Buyer,2016-10-01 00:00:00,46,28,,74,0,X,46,8,0,,0,,0,0.62
127,Terrific,"Wow Got big billion day 34,999 CASH ON DELIVERY....Thank you flipkart iPhone 7 is seriously a beast... In camera...",5,Certified Buyer,2018-10-01 00:00:00,264,215,,479,4,M,19,2,0,,0,,0,0.55
128,Terrific purchase,"The product is as usual best ,and thanks for the best service by flip kart,its always the best keep it up I give thme 10 out of 10 for their genuine products provided ever",5,Certified Buyer,2016-11-01 00:00:00,12,4,,16,0,X,34,1,0,,0,,0,0.75
129,Awesome phone,"GOOD:
 + water resistant - this is a huge improvement for me!
 +increased speed is noticeable w Siri.
 +the capacity is amazing! I can keep movies, videos, books, photos, music etc without having to store on iCloud or the like (which usually involves a monthly fee).
 + decent size (same as iPhone 6S) while remaining portable and although not as big as the 7 Plus, it can still fit in pocket.
 +Widget feature (swiping to right at home screen) has been improved and now allows editing. You can add or delete features which can be key for privacy and being able to customize is always a good thing.
 +has lots of added fun features in iMessage (not sure if its the updated software or strictly iPhone 7) like memes, automatic replies and being able to write w your fingertip.
 +camera takes much better pics (increased the megapixels and the difference is noticeable) and it has 5X zoom capability.
 +has the fingerprint option for quicker access after you enter your 6 digit pass code to begin.
 +even slimmer than the iPhone 6 but still able to stand up against something for convenient viewing.
 +speaker upgrade as it now provides stereo (not up to audiophile standards but still).
 
 BAD:
 - no headphone jack!! but box includes dongle (see photo) which inserts into charging port and provides headphone jack - I have a bet with myself on how long it will take to lose. I know wireless headphones are the future but happy with my old faithful headphones.
 -the home button is not as well defined. Its gonna take longer than 24 hrs to get used to as it takes me a few tries to activate the home button. It requires the right amount of pressure and despite offering three different options, not easy. The guys at the Apple Store need to stop showing off - on the bright side, I'm thinking it's a learning curve thing and continued use should take care of this issue.",5,Certified Buyer,2016-10-01 00:00:00,85,62,READ MORE,147,0,M,333,19,0,,0,,0,0.58
130,Just wow!,too good....it's design is so much attracting..nd as iphone is iphone no phone gonna match it's level.,5,Certified Buyer,2018-10-01 00:00:00,21,10,,31,1,X,17,1,0,,0,,0,0.68
131,Don't waste your money,Don't buy it in any condition it's provide 2nd hand.,1,Certified Buyer,2017-10-01 00:00:00,20,11,,31,0,X,10,1,0,,0,,0,0.65
132,iPhone 7 = iPhone 6S,Not a big upgrade from iPhone 6S. Feels almost the same,4,Certified Buyer,2016-10-01 00:00:00,52,35,,87,0,M,11,2,0,,0,,0,0.6
133,Absolute rubbish!,"with in 3 day used this is dead suddenly not show charging and unable to power on
 
 before dead given excellent performance iphone 7 and battery life is less...
 Good looking
 excellent delivery before promised date....
 i got this is in 34999/- valve for money
 but getting heated of phone
 now iphone is dead on 4th nov morning with in 3day of delivery
 I'm not happy to this .........
 please help my Flipkart",1,Certified Buyer,2018-11-01 00:00:00,9,2,,11,0,M,73,1,0,,0,,0,0.82
134,Unknown products need review not iphone,"What you expect
 Its iphone;)",5,Certified Buyer,2016-12-01 00:00:00,21,10,,31,0,M,5,1,0,,0,,0,0.68
138,Awesome,"I was using Iphone-5s and now I have this amazing iphone-7 and yes lot of things have improved.
 New taptic engine for main button will take time to adjust, other than that no issues.",5,Certified Buyer,2016-10-01 00:00:00,102,81,,183,0,M,34,2,0,,0,,0,0.56
139,Great Improvement in Customer Service,"Initially I was a bit upset that the rider didn't deliver and instead marked ""customer not available"", while I waited for 2 hours for delivery. However, a big thanks to Rahul from the storage facility, who ensured delivery was done in 30 mins against all odds.
 
 Final Review: Satisfied (Y)",5,Certified Buyer,2016-12-01 00:00:00,125,103,,228,0,M,50,3,0,,0,,0,0.55
140,Must buy!,"Hi, As apple products are so expensive to buy, I bought this on festive sale and got 3500/- instant discount from Flipkart on a affordable price of 31499/-. Ecom Express delivered within 4 days. I'll post a review regarding the performance of this device after 3 months.",5,Certified Buyer,2018-10-01 00:00:00,32,19,,51,1,M,47,3,0,,0,,0,0.63
141,Best in the market!,awesome product... speedy delivery before time by flipkart ... very happy thank u flipkart,5,Certified Buyer,4 months ago,14,6,,20,3,M,14,1,0,,0,,0,0.7
142,Looks genuine at a good deal.,"Looks Genuine, got the 256 GB at 59K. Was a good deal!",5,Certified Buyer,2017-04-01 00:00:00,15,6,,21,0,M,12,2,0,,0,,0,0.71
143,TOOOO GOOOOOOD !!!!!!,"iphone 7 is superb as expected. I got upgraded myself from earlier version of iphone so i could feel the difference. But more importantly the Flipkart delivery has been excellent and highly impressive. They initially said to deliver by 8th, but preponed it to 7th evening and within 20 minutes of iphone's office launch in India, flipkart had it delivered to my home (by 7:20 pm on the 7th). Much faster than my friend got it at reliance outlet.
 
 Flipkart, hats off to you and your passionate team for all the efforts and i wish all the best.
 
 Coming back to iphone 7, bit of issues on touchpad and speakers which i hope service centre shall address.",5,Certified Buyer,2016-10-01 00:00:00,34,22,READ MORE,56,0,X,117,7,0,,0,,0,0.61
144,Don't waste your money,"Defected product,battery drains without usage.",4,Certified Buyer,2017-11-01 00:00:00,20,11,,31,0,M,5,1,0,,0,,0,0.65
145,Fabulous!,battery it's low but overall performance it's great.,5,Certified Buyer,4 months ago,10,3,,13,2,M,8,1,0,,0,,0,0.77
146,Just wow!,Awasom just smooth as ever with iOS 12.1.2 it’s just awesome....!!! Just go for it like butter no offence to android users I used s8 but now am fine with new experience.......!!! A10 fusion rocks,5,Certified Buyer,2018-12-01 00:00:00,22,13,,35,0,M,35,3,0,,0,,0,0.63
147,Absolute rubbish!,"An i phone worth half lakh give away its color in a month , no matter how good you keep it. Not worth, color of back pannel and buttons are showing sign of aging. see the link, Apple is aware of this issue... Search for paint chipped on Google",1,Certified Buyer,2017-06-01 00:00:00,79,70,,149,1,M,49,3,0,,0,,0,0.53
148,Awesome piece of art to be used in Earth,"This is a master piece of the inventions from Apple. While you compare the previous versions of Iphone 6 and 6s, this is way ahead in terms of memory, speed and multitasking. The biometric thumb scanner is fast but does not beat the top of end Androids but is the best in Apple's own world. Display is HD Retina and best at 326 ppi as compared to any other. Battery juice is 2 to 3 hrs more and the Camera clarity is the best of all. You get the best of shots like a 21 mp digicam. Overall it is a premium phone and the niche who owns it will feel the edge over others.",5,Certified Buyer,2017-01-01 00:00:00,182,179,READ MORE,361,0,M,115,7,0,,0,,0,0.5
150,Feedback on purchases of iPhone7 and Flipkart,iPhone7 is awesome. I'm using the phone since last 2 months it is quite impressive by performance wise and quality too. The Flipkart delivery was good but packing was not that great. Attitudes of delivery guys was not good. Flipkart should have a reason to worry.,5,Certified Buyer,2017-04-01 00:00:00,104,96,,200,0,M,46,5,0,,0,,0,0.52
151,Terrific purchase,nice phone I am so happy thanks Flipkart,5,Certified Buyer,5 months ago,32,22,,54,0,X,8,1,0,,0,,0,0.59
152,Classy product,Ok ok type battery backup is very poor,5,Certified Buyer,2019-01-01 00:00:00,15,8,,23,2,M,8,1,0,,0,,0,0.65
153,Must buy!,"I’m writing this review after using this for a week. I’m always inspired by the apple products, the build quality, the display, the software and finally the brand of Apple. I recently purchased IPhone 7 32 GB. And when I touched the product I feel like why I wasted all my life.
 
 Pros:
 The perfect size to hold.
 Display
 Apple eco system.
 Processor
 Well optimized software for hardware
 Rear camera.
 
 Cons:
 Front camera
 Battery",5,Certified Buyer,9 months ago,11,6,,17,2,M,74,8,0,,0,,0,0.65
154,Super!,"perfect device...for me...slim compact and powerful...
 overall satisfied...but expected a little more on battery side...rest is good go for it...",5,Certified Buyer,2019-02-01 00:00:00,12,5,,17,1,M,20,1,0,,0,,0,0.71
155,Too Much Heated,"Iphone Camera is Poor
 Sound is not upto mark
 Fluid warranty not covered i.e. if phone is damaged by water splash it a piece of garbage
 !!!!!!!!!!!!!! Important !!!!!!!!!!!!!!!
 Jio Sim 4G compatibility is big issue
 and also you are not eligible for Jio apple one year offer if u buy from Online i.e Flipkart , Amazon etc.",1,Certified Buyer,2017-01-01 00:00:00,155,159,,314,0,M,58,4,0,,0,,0,0.49
184,Not good as expected,"Not good as i thought , camera not so good need a lot improvements , as i was using iphone 5s for last 3 year , i was expecting iphone 7 as atom bomb but even it is not diwali bomb. Rethink if you are buying it . I am a big iphone fan but here i am accepting that apple need to develop more, if possible buy dual camera iphone , and keep patience.",2,Certified Buyer,2018-05-01 00:00:00,9,3,,12,0,M,75,3,0,,0,,0,0.75
185,Bad package services,i never seen this much worst packing of products. packing is very bad need to improve there packing alot. Otherwise customer will receive damaged products,4,Certified Buyer,2017-05-01 00:00:00,8,3,,11,0,M,25,3,0,,0,,0,0.73
186,The best apple product till date.,The most amazing product that I have use by apple till date.Simply awesome!!,5,Certified Buyer,2017-01-01 00:00:00,29,22,,51,0,X,13,2,0,,0,,0,0.57
187,Mind-blowing purchase,Good like it and price is also good,5,Certified Buyer,3 months ago,9,4,,13,1,M,8,1,0,,0,,0,0.69
188,Wonderful,"just superb...got it for 38,500rs..checked at the apple store and its 100% original with warranty..",5,Certified Buyer,2017-06-01 00:00:00,9,4,,13,0,X,15,1,0,,0,,0,0.69
189,Did not meet expectations,Gifted this to my gf and she dumped me next day. She said that she was expecting iPhone X.,1,Certified Buyer,2018-05-01 00:00:00,40,34,,74,0,X,19,2,0,,0,,0,0.54
190,Very poor,Heating problem,1,Certified Buyer,2016-12-01 00:00:00,32,25,,57,0,X,2,1,0,,0,,0,0.56
191,Fabulous!,Its my 1st i phone. I just madly love it. Its so handy. So premium quality. I super like it. Its just battery backup its very bad.,5,Certified Buyer,4 months ago,12,6,,18,1,M,27,6,0,,0,,0,0.67
192,Iphone 7 - Class of its own,"Its simple, if you dont have an iphone, you simply just dont have an iphone. Haters and critics are going to go gaga about it but everybody knows that no brand can catch up to apples's class, technology and product. Started from iphone 3 and rest is history.",5,Certified Buyer,2016-11-01 00:00:00,11,6,,17,0,M,48,3,0,,0,,0,0.65
193,Hated it!,"This product is faulty I can't hear voice at all , although the delivery was really fast ,but now Flipkart is not returning this stating ""please contact brand authorised service centre directly"" .when Flipkart is the authorised internt reseller for apple I doubt that they can't exchange this device for me . I have to now look for a service centre and hope they give me a new handset against this garbage Flipkart sold to me",1,Certified Buyer,2017-05-01 00:00:00,113,126,,239,0,F,76,2,0,,0,,0,0.47
200,Best in the market!,"Flipkart has never let me down as far as the delivery date is concerned. Kudos to flipkart for delivering this beautiful product in the promised time !!
 And 20k discount on iPhone 7 256 GB....This was an awesome deal !! Thanks again flipkart !!",5,Certified Buyer,2017-04-01 00:00:00,63,67,,130,0,M,44,5,0,,0,,0,0.48
201,Mind-blowing purchase,Tnku flipcart for this amazing product,5,Certified Buyer,4 months ago,8,3,,11,1,M,6,1,0,,0,,0,0.73
202,Received a Rs.50k detergent bar in the iPhone box,"I got this product after 5 days from the order from Empire Group and on receiving I got a detergent bar instead of the iPhone inside the iPhone box. Highly disgusting and disappointing of such a huge company and delivering such rubbish at the cost of an iPhone. It's been more than 48 hours and there is no positive response on this issue. I paid through credit card and opted for EMI and now my money is stuck with Flipkart but they have no update since they're following some ""process"".

Unexpected and highly unprofessional way of dealing with such high priority issues where such large amount of money is involved.",1,Certified Buyer,2017-05-01 00:00:00,44,47,READ MORE,91,0,X,110,5,0,,0,,0,0.48
203,Super!,Awesome,5,Certified Buyer,2016-10-01 00:00:00,9,5,,14,0,M,1,1,0,,0,,0,0.64
204,Must buy from Flipkart..committed,Order iPhone 7 rose gold on Saturday & with exchange redmi 3s my new iPhone 7 delivered on Sunday morning......HATTS OF FLIPKART....within 24 hours new Iphone in my hand with 10%cashback & no cost emi...with Flipkart iam upgraded from android to iOS......love u Flipkart,5,Certified Buyer,2017-10-01 00:00:00,10,6,,16,0,X,44,1,0,,0,,0,0.62
205,Terrible product,Worst seller and i received defective product..i faced os problem,1,Certified Buyer,2017-03-01 00:00:00,10,6,,16,0,M,10,1,0,,0,,0,0.62
217,Good service cnt complain good delivery time n all,"Was not expecting this, the cable inside box is not working i sent flipkart a complain but not receiving any reply yet i checked it with other devices too bt no use now using my old iphone's cable for charging",1,Certified Buyer,2017-03-01 00:00:00,12,9,,21,0,M,40,1,0,,0,,0,0.57
218,iPhone 7 .... just awesome,"Awesome phone in all means.
1. Lookwise elegant and it's 4.7 inch size is very easy to hold and one hand operation
2. iCloud back up facility enables user to restore data without any hazard and its recoverable whenever the set is changed to new iPhone
3. The phone is latest in style builtwise
4. Sound quality of the phone is also the best. Use earphone for the better feelings
5. Battery back up is also good compare to other iPhones
6. Camera is the best in the lot. You can see the difference between any android phones with 21 mp camera and iPhone 7. iPhone 7 has the best camera quality
7. Front camera is also better but not the best.

For me it's a worthwhile phone at its budget. And thanks to Flipkart for giving a huge discount with no cost Emi",5,Certified Buyer,2017-01-01 00:00:00,21,20,READ MORE,41,0,M,144,12,0,,0,,0,0.51
219,Iphone 7 Can handle my speed,"Iphone 7 Can handle my speed
 
 i use phone faster and faster i checked nearly 5-6 phones till date among best brands, apple iphone 7 only the phone satisfied my phone usage speed.
 
 its saved my lot of time.",5,Certified Buyer,2017-05-01 00:00:00,64,81,,145,0,M,39,2,0,,0,,0,0.44
220,i (for ideal) phone,"It would be presumptuous to not acknowledge that all those who pre-ordered this device, myself included, have done it simply for the allure of the latest iPhone. Even as I say this, I wasnt entirely convinced of the iPhone 7 when I watched the livestream of the Apple Keynote. However, a timely launch in India, less exorbitant pricing and a hefty cashback was what finally swung me in favour of it.

While Apple might have not made much headway in design for 3 generations now, I take some solace in the fact that I got the Black variant which sets it apart from the earlier generations. Having said that, the accumulation of the incremental updates is what makes this a significant step up from the 6s - IP67 protection, cleaning up of antenna lines, camera with better low light performance and OIS, stereo speakers, brighter screen with wider colour gamut, 40% faster quad core CPU, hexa core GPU and the bigger 1960 mAh battery. However, the focus will be more on what has been lost, namely, the headphone jack and the physical Home button. Coming from Android phones with capacitive only buttons, the latter doesn't matter at all, especially since it is now a multi-function button that does a lot more than the physical one. However, I must admit that pressing it felt odd initially and I mistook the vibration as flexing of the case in which my phone was encased. The loss of the former however will not be an easy one. It may have been a courageous move but also a bit impractical. I use a Sony SBH54 Bluetooth headset and the audio quality is still some way off to justify using it all the time. It is even more antagonizing when you have invested a significant amount in purchasing high-end 3.5mm jack headphones. At least, there is the headphone adapter which comes only in white and goes very well (not!) with the Black variant. I guess that is a compromise I have to live with and really hope that Apple has made the Lightning port a lot sturdier. I can somehow accept this decision if indeed, as Apple has stated, it was a price to pay for a larger battery, water resistance and stereo speakers without ruining the dimensions, even though I can accept an additional 2mm of thickness any day. Apart from the device itself, you buy yourself in to a large repertoire of accessories that simply dont exist for other devices.

As far as iOS is concerned, Apple has been more forthright about picking up whats good in others (as has Android) which means a more accelerated rate of iOS progression compared to an approach of deterrence through suing. Also, Apples walled garden now has a pet door with overtures to developers to utilize aspects of iOS that were previously, preciously locked away. iOS also continues to be the platform of choice for innovative app developers who are not simply targeting income through baited ad clicks. Even Google and Microsoft continue to offer an incredible experience on iOS which is inexplicably better than what they offer on their own platform. It is perhaps not contestable that iOS offers the best security, privacy, optimization and consistency of any phone, even though most of it comes from Apples control of every aspect of the device. Also, the exclusivity of the OS has some appeal to it at a time when Android can be experienced on any PC. To sum it up, you cannot go wrong with buying the iPhone, unless you had to take out a mortgage to finance one.

P.S. I received my iPhone at around 8 p.m., about an hour after the launch and really loved the custom packaging. Enjoyed purchasing something from Flipkart after a long time.",5,Certified Buyer,2016-10-01 00:00:00,89,119,READ MORE,208,0,M,633,27,0,,0,,0,0.43
221,RETURN HANDSET,"Hello Amit frm this side
 i buy today iphone 7 i open a packet then switch on handset but handset not on put on charger on iphone 1 hr but not show any thing . i return my handset Return this defective product .",1,Certified Buyer,2017-02-01 00:00:00,44,52,,96,0,M,44,2,0,,0,,0,0.46
222,Superb!!!,"Thanks to flipkart for fast delivery. No need to explain the product, iphone is just self explaintory.
 And for those having issues or claiming the product to be defected, first of all go for fassured seller only and watch out some unboxing videos beforehand so as to get an idea of sealed box and when ever unboxing new iphone just look out for sealing i.e. Original seal is not hampered and match that IMEI no of phone and bill with that of box, you will be good to go",5,Certified Buyer,2017-05-01 00:00:00,10,7,,17,0,M,89,4,0,,0,,0,0.59
223,Waste of money!,Bad piece. Stopped working just after 5 hours.,1,Certified Buyer,2016-10-01 00:00:00,61,78,,139,0,M,8,2,0,,0,,0,0.44
228,Don't need a Mention,"Awesome Phone. Don't really need any review. What works, simply works at its best.
 Best Hardware and Software combination.",5,Certified Buyer,2017-01-01 00:00:00,9,6,,15,0,F,19,4,0,,0,,0,0.6
229,A Cute Little Stealthy Black Beast,"Firstly the Flipkart service is awesome. IP7 was launched on 7th Oct 7 PM and I got it by 8PM same day. A pat on their back for the excellent service. Packaging was also very very secure. A premium black box had the phone box inside it. A nice touch to the user experience all together.

About the phone. If you already have IP6S, you should not upgrade or can go for a 32gb model.
But if you have IP6 or below, upgrading to IP7 will be good decision. My brother have IP6 and when I put both these phones side by side, IP7 nails it everywhere.

IP7 - The Good.
Camera - This is undoubtedly the best camera you have on any IP and just next to Samsung S7
Display - Even if it is not quad HD or something, when you put other IPs in the side, the diff will be very obvious. A very pleasant display. A warm touch to the display feels pretty nice to look at. And also the quad HD screens have their bads.
Speakers - not Stereo but way too loud
Finger print - Now with this one, press and lift your finger as fast you can and the phone will be unlocked. We tested it on IP6, IP6S and IP7 and you can guess the winner.
Lift to Wake feature is welcoming and very useful.
Its water resistant also. I put my 70K phone in a mug of water with heavy heart (as apple does not include water damage in warranty) but nothing happened.
Finally the Black color is stealthy and awesome.
Performance - It will beat any phone by huge margins. A cute little stealthy black beast.

IP7 - The Bads.
Battery - It's not bad, I will say but it would have been a bit bigger. Best thing is if you are not using your phone, battery will not drain.
Fast Charging - This is needed in any phone today
Headphone Jack - USB Jack is pretty awesome, but the downside is that if you are low on battery and it's charging, you can't put headphones for music or calls. You have to wait for sometime. Or may be buy a bluetooth headphone.

Overall a good package and atleast for someone like me who were a loyal Android user from past 6 years, switching to Iphone (IOS) is an awesome experience. I just love everything about this phone.

I am happy with the Purchase and with Flipkart Service.",5,Certified Buyer,2016-10-01 00:00:00,9,6,READ MORE,15,0,M,418,32,0,,0,,0,0.6
230,Worth every penny,No words,5,Certified Buyer,5 months ago,8,5,,13,1,F,2,1,0,,0,,0,0.62
231,Amazing ordering experience from Flipkart !,"The phone was as expected piece of beauty. The performance is snappy and the resolution is great. For someone who's coming from iPhone 6s, this may not be a thing of excitement as it looks 90% just as same. However, what has changed is inside of the phone. With better processor, camera, water resistance technology - a lot has changed inside.

Coming to the delivery experience. I ordered this phone within one hour when the pre orders started on flipkart. I was kept well informed about the progress of my order.
I even got a personal call from flipkart executive with exact date and time slot of delivery. The delivery however was delayed by about 15 minutes but I would ignore that really.
Overall a very nice experience and I think it was a nice decision buying from flipkart as it was a total mad rush at Apple Store today. On the other hand, I got my phone on the very first day itself and that too at the comfort of my home !",5,Certified Buyer,2016-10-01 00:00:00,44,54,READ MORE,98,0,M,174,12,0,,0,,0,0.45
233,Great product added with great Flipkart exp,Great job Flipkart. Very good experience. The packaging was awesome. Flipkart makes you feel special,5,Certified Buyer,2016-10-01 00:00:00,7,3,,10,0,M,15,4,0,,0,,0,0.7
234,Iphone 7,Touch Problem & Heating issue...,1,Certified Buyer,2017-05-01 00:00:00,7,4,,11,0,M,5,1,0,,0,,0,0.64
235,Highly recommended,"No issues absolutely, a glittering virgin pack delivered on time!",5,Certified Buyer,2017-03-01 00:00:00,8,4,,12,0,M,10,1,0,,0,,0,0.67
296,Simply awesome,First of all I would like to thank Flipkart for super fast delivery. I got my phone delivered today around 7 pm which was on time. Along with phone I got some surprise gifts from Flipkart. Thanks for making this as a special event and a memorable one,5,Certified Buyer,2016-10-01 00:00:00,23,26,,49,0,M,48,4,0,,0,,0,0.47
297,"IF U DON'T HAVE AN IPHONE, WELL U DON'T AN IPHONE.","The most awaited phone of the year. Being the iPhone 5S user for over 2 years, I just love the iPhone for its sturdy built and fabulous design. I've used all types of phone and operating system but this IOS is just awesome, the only phone which never lags or get hanged or restarts in between that's the best thing of apple's products.

Got the phone delivered on 30/11/2016, which on time so no complaint on that.

The product was delivered safely with no damage or any such other issues.

It's an IPhone so there can't be any cons. But yes there is a lot of improvement especially the battery life. With normal usage I use it for 2 days with full charge.

The display is great, touch is fabulous, camera is the best I can say. The world is crazy for this phone. After all it's an iPhone.

For those who feel it's an expensive at this 70k price point then flipkart is offering 0% interest on EMI what else you want.

I'm happy with the my IPhone 7.",5,Certified Buyer,2016-12-01 00:00:00,25,29,READ MORE,54,0,M,180,13,0,,0,,0,0.46
298,Awesome,Brilliant product with super internal specs!!,5,Certified Buyer,2016-10-01 00:00:00,13,12,,25,0,M,6,2,0,,0,,0,0.52
299,Worthy upgrade from iPhone 6,"Firstly flipkart did a fair job on delivering the phone despite the huge number of orders.
 Overall iPhone 7 is a nice upgrade from iPhone 6 as I got 3D touch, Live photos, better camera, Better processor, Stereo speakers and it's water proof.
 But I don't think it has much to offer if you are already using iPhone 6S.",4,Certified Buyer,2016-10-01 00:00:00,37,48,,85,0,M,59,3,0,,0,,0,0.44
300,amazing Flipkart.,"I got message at 7 pm, that its out for delivery. and at 8 pm it was in my hand. one hour delivery for iPhone 7.. this is Flipkart promise. I am very very very impressed. my friends were in line outside Apple Store for about 4 hours, and after another 4 hours later at 10 pm he got his phone.
while I got it on time and at home....
flipkart has taken this to another level
phone itself is snappier than iPhone 6s. if u have 6 u can upgrade.. if you have 6s no need to upgrade unless you are diehard apple fan, care about snob value, or simply have that much money at spare..

very very happy Flipkart.",5,Certified Buyer,2016-10-01 00:00:00,35,45,READ MORE,80,0,M,121,7,0,,0,,0,0.44
301,The pretty powerhouse in your hand,"Delighted to have my hands on the very first day of iPhone 7 launch in india . As contrary to rumors this new iPhone is a whole new power house as compare to older versions ,6s or 6 . It's really fast and new home button with Taptic Engine gives you a whole new experience. I loved the texture of color black as it gives a whole unified feeling to the form factor . The camera is just amazing and better . There is lot to explore which I might update here in the review . The only thing which I did not like that much was the packaging of accessories in cardboard molds, it's very unlike apple . On an overall basis go for it and you won't be disappointed.",5,Certified Buyer,2016-10-01 00:00:00,24,29,READ MORE,53,0,M,131,8,0,,0,,0,0.45
302,Amazing is the one word for Apple.,"So I got my first Apple I Phone 7 , thanks to Flipkart for amazing low price of 38499/- on there big billion day, package arrived before time.
Here was my New I phone 7, mesmerizing look, feature touch , crisp and clear display, sound at its best, even the ear-pods are too classy and give a good sound. When I started using Apple I phone then i realized why they cost more than any other smartphone. They have terrific after sale support. My phone was heating a bit for Initial 2 days, then i contacted apple customer service through chat and phone support and they solved my queries .Apple has unique feature of adapting when we first start to use the phone and that's why in initial days it will heat a bit to get with the envrm and it was true. Now I don't feel like using other phone's ,I phone are light weight and this u can feel once u start using this gem device. Camera is above par no other phones comes close to pic quality than I phone 7 .Finally I must say if you have not used I phone , Use it for once you will surely not regret. Thanks.!!",5,Certified Buyer,2017-05-01 00:00:00,14,14,READ MORE,28,0,M,206,9,0,,0,,0,0.5
303,Useless product,I don't wanna to give any star for this product ...they are provide us bad product ...the phone and charger both heating too much and flipcart is not ready help hus customer which very bad if they are not ready take a responsibility then y they are shelling this product....i suggest u guys don't buy anything by flipcart....bad very bad.....disappointed me....,1,Certified Buyer,2017-09-01 00:00:00,9,6,,15,0,M,61,1,0,,0,,0,0.6
304,Not good,"3 problems already in 2 months time. I have asked for a replacement and waiting to hear from Apple. problems were:
 1) Unable to hear anything using headphones. (thier repair center changed the part, but still the problem continued)
 2) Phone does not power on, was kind of completely dead.",2,Certified Buyer,2017-08-01 00:00:00,8,6,,14,0,M,50,4,0,,0,,0,0.57
305,Extremely satisfied despite being sceptical at 1st,"At first I was very sceptical about the seller and genuineness of the product since I bought this product at extremely cheap rate during sale. However after one month of using it, the product has shown absolutely no glitches that makes me doubt that the product is counterfeit or something. Hence I would recommend others to go for this one.",4,Certified Buyer,2017-06-01 00:00:00,7,5,,12,0,M,60,3,0,,0,,0,0.58
306,Best phone ever,I recently bought iPhone 7 at zero down payment with Bajaj finders now it's my first iPhone and I must tell that really iPhone is an experience no lag no heat fast is too fast and camera quality is good,5,Certified Buyer,2016-11-01 00:00:00,6,4,,10,0,M,40,1,0,,0,,0,0.6
307,Awesome Product,"Excellent product, worth the money...",5,Certified Buyer,2016-11-01 00:00:00,6,4,,10,0,M,5,1,0,,0,,0,0.6
308,Outdid Apple !!,Flipkart outdid even Apple in terms of handing over the phone within the hour of Indian launch. It launched at 7pm. My phone was home delivered before 8. While I had gone with my friend to Apple to pick up her piece which she got by 9pm!! It was a learning lesson to her too. M super impressed!!,5,Certified Buyer,2016-10-01 00:00:00,60,96,,156,0,X,58,7,0,,0,,0,0.38
309,Awesome phone,"Received the sexy beast I phone 7 gold on the same day of release.5 stars to flipkart for the fastest delivery . Quality of phone is awesome , very good touch and battery backup. The new camera quality and stereo sound is excellent . Water proof feature is the another advantage what I was looking in iPhone. So overall 5 stars from my side cheers!",5,Certified Buyer,2016-10-01 00:00:00,11,11,,22,0,M,65,5,0,,0,,0,0.5
