Sr_No,Review_Title,Review_Text,Review_Rating,Review_Date,Upvote,Downvote,Sum_of_Up_Down,Len_before,Num_Sentence,No_QMark,No_ExMark,No_Upper,No_proper,Emoji_Count,Len_after,POS,Perc_Noun,Perc_Verb,Perc_Adverb,Perc_Adj,h,ReviewTitle_Sentiment
78,Amazing Little phone,"get phone deliver supercomnet 4 day Bangalore love phone . upgrade 7 notice considerable upgrade . 

 1 . tactic engine base soft home button feedback response quick happy 3.5 mm audit jack fit engine . 

 2 . fast night photography cleared whisper , thank 1.of rear camera upgrade 2.of camera . 

 3 . audit driver well audit quality clear . 

 4 . dual speaker sound output loud well . 

 5 . big fan jet black color get . 

 6 . touch screen responsive . 

 battery improve half approve . 

 love new monster speck undermine power product 10 design opium fast performance speck build . ram shone 7 turn faster 4 chinese andro phone like novo optimisation . 

 similarly 12 1.of camera responsive call camp moon light camera phone . 

 recommend hardware responsiveness phone . 

 happy shone customer 7 yes .",5,2017-02-01 00:00:00,116,55,171,274,20,0,,0,,0,140,AUX NOUN VERB NOUN NUM NOUN PROPN NOUN NOUN PUNCT VERB NUM NOUN ADJ NOUN PUNCT SPACE NUM PUNCT ADJ NOUN NOUN ADJ NOUN NOUN NOUN NOUN PROPN ADJ NUM PROPN NOUN PROPN PROPN PROPN PUNCT SPACE NUM PUNCT ADJ NOUN NOUN VERB PROPN PUNCT VERB NUM ADJ NOUN VERB PROPN NOUN PUNCT SPACE PROPN PUNCT PROPN NOUN INTJ NOUN NOUN ADJ PUNCT SPACE NUM PUNCT ADJ NOUN NOUN NOUN ADV ADV PUNCT SPACE NUM PUNCT ADJ NOUN NOUN ADJ NOUN VERB PUNCT SPACE NUM PUNCT NOUN NOUN ADJ PUNCT SPACE NOUN VERB NOUN VERB PUNCT SPACE VERB ADJ NOUN NOUN PROPN NOUN NOUN NUM NOUN NOUN ADJ NOUN NOUN NOUN PUNCT VERB VERB NUM VERB ADV NUM ADJ NOUN NOUN SCONJ PROPN NOUN PUNCT SPACE ADV NUM NUM NOUN ADJ NOUN PROPN PROPN ADJ NOUN NOUN PUNCT SPACE PROPN NOUN NOUN NOUN PUNCT SPACE PROPN PROPN NOUN NUM INTJ PUNCT,33.77,7.95,2.65,10.6,0.68,pos
79,Iphone 7,friend different phone phone 7 . purchase phone 7 today find well . worth . use buy camera quality .,5,2017-01-01 00:00:00,165,84,249,33,4,0,,0,,0,20,NOUN ADJ NOUN NOUN NUM PUNCT NOUN NOUN NUM NOUN VERB ADV PUNCT ADJ PUNCT NOUN NOUN NOUN NOUN PUNCT,50.0,5.0,5.0,10.0,0.66,neu
80,Did not meet expectations,battery low flipkart purchase deny return product,1,2018-03-01 00:00:00,12,2,14,17,1,0,,0,,0,7,NOUN ADJ NOUN NOUN NOUN NOUN NOUN,85.71,0.0,0.0,14.29,0.86,neu
81,Nice phone,"vice phone have similar feature compare phone , prick worth buying . 
 
  Tireless earbud provide phone . 
 
  like touch , work speed   camera update .",4,2017-01-01 00:00:00,76,34,110,35,3,0,,0,,0,25,NOUN NOUN AUX ADJ NOUN VERB NOUN PUNCT VERB ADJ NOUN PUNCT SPACE NOUN NOUN VERB NOUN PUNCT SPACE SCONJ NOUN PUNCT NOUN NOUN SPACE NOUN NOUN PUNCT,46.43,10.71,0.0,7.14,0.69,neu
82,Awesome,"WOW effect ..... time phone feel d change bet andro ..... 
  exceptionally brilliant .... flipkart give good deal delivery d expect date .... jug d thing linger d beast insure .....",5,2017-05-01 00:00:00,308,174,482,40,1,0,,0,,0,31,PROPN NOUN PUNCT NOUN NOUN VERB ADJ NOUN NOUN NOUN PUNCT SPACE ADV ADJ PUNCT NOUN VERB ADJ NOUN NOUN NOUN VERB NOUN PUNCT NOUN PROPN NOUN NOUN ADJ NOUN VERB PUNCT,46.88,12.5,3.12,12.5,0.64,pos
83,Great product,solid performer apple stable . unpacking special flipkart preordere one . not want elaborate ruin surprise . phone perform effortlessly . issue far . grate early shone quick simple . battery life well early phone new home button beautifully engineer provide enhanced user experience . definitely recommend phone,5,2016-10-01 00:00:00,86,41,127,78,8,0,,0,,0,48,ADJ NOUN NOUN ADJ PUNCT VERB ADJ NOUN VERB NUM PUNCT PART VERB ADJ NOUN NOUN PUNCT NOUN VERB ADV PUNCT NOUN ADV PUNCT NOUN ADV NOUN ADJ ADJ PUNCT NOUN NOUN INTJ ADJ NOUN ADJ NOUN NOUN ADV NOUN VERB VERB NOUN NOUN PUNCT ADV VERB NOUN,37.5,14.58,10.42,16.67,0.68,pos
84,NYC experience,good delivery speed Flipkart new shone awesome .,5,2016-10-01 00:00:00,37,14,51,11,1,0,,0,,0,8,ADJ NOUN NOUN PROPN ADJ NOUN ADJ PUNCT,37.5,0.0,0.0,37.5,0.73,neu
85,Utterly Disappointed,"phone display work 5 day flipkaft didn support way apple store , 10 day replacement warranty ...",1,2018-02-01 00:00:00,25,8,33,28,1,0,,0,,0,17,NOUN NOUN NOUN NUM NOUN PROPN PROPN PROPN PROPN PROPN NOUN PUNCT NUM NOUN NOUN NOUN PUNCT,47.06,0.0,0.0,0.0,0.76,neg
86,Faulty Product Delivered,finger button work product . Unhappy,2,2017-03-01 00:00:00,71,34,105,9,2,0,,0,,0,6,NOUN NOUN NOUN NOUN PUNCT PROPN,66.67,0.0,0.0,0.0,0.68,neu
87,Iphone 7 Amazing experience,phone day . contend experience service provide flipkart product delivery . thank give fearless experience .,5,2016-11-01 00:00:00,32,12,44,29,3,0,,0,,0,16,PROPN PROPN PUNCT VERB NOUN NOUN VERB NOUN NOUN NOUN PUNCT VERB VERB ADJ NOUN PUNCT,37.5,25.0,0.0,6.25,0.73,pos
88,Hated it!,receive Courier flipkart open . phone start completely rear camera flash light work . center service center repair go km phone service center new phone send Banglore onwards replace camera not buy phone flipkart,1,2018-12-01 00:00:00,21,5,26,62,3,0,,0,,0,34,VERB PROPN NOUN ADJ PUNCT NOUN NOUN ADV ADJ NOUN NOUN NOUN NOUN PUNCT PROPN PROPN PROPN NOUN VERB PROPN NOUN NOUN NOUN ADJ NOUN VERB PROPN ADV VERB NOUN PART VERB NOUN NOUN,44.12,14.71,5.88,8.82,0.81,neg
92,Super!,2 month phone 7 .. phone superb .. feel grm phone 7 . camera quality . processor . delivery good perfect packing .,5,2017-02-01 00:00:00,44,19,63,34,4,0,,0,,0,23,NUM NOUN NOUN NUM PUNCT NOUN NOUN PUNCT VERB PROPN NOUN NUM PUNCT NOUN NOUN PUNCT NOUN PUNCT NOUN ADJ ADJ NOUN PUNCT,43.48,4.35,0.0,8.7,0.7,pos
93,Pretty good,nice phone get 33000 sale downside screen resolution 720p sharp price point accept,4,2018-10-01 00:00:00,34,13,47,29,1,0,,0,,0,13,ADJ NOUN VERB NUM NOUN NOUN NOUN NOUN NUM ADJ NOUN NOUN NOUN,61.54,7.69,0.0,15.38,0.72,pos
94,Good!!,will not worry 100 % original,5,2017-05-01 00:00:00,34,14,48,7,1,0,,0,,0,6,VERB PART VERB NUM NOUN ADJ,16.67,33.33,0.0,16.67,0.71,pos
95,Great product,nice phone . old Apple user apple quality come band . good happy thank filipkart,5,3 months ago,24,8,32,23,3,0,,0,,0,15,ADJ NOUN PUNCT ADJ PROPN NOUN NOUN NOUN VERB NOUN PUNCT PROPN PROPN VERB PROPN,33.33,13.33,0.0,13.33,0.75,pos
96,Excellent,buy Apple badge . feel nice hand . overall nice experience apple .,5,2018-10-01 00:00:00,23,8,31,17,3,0,,0,,0,13,VERB PROPN NOUN PUNCT VERB ADJ NOUN PUNCT ADJ ADJ NOUN NOUN PUNCT,30.77,15.38,0.0,23.08,0.74,pos
97,"It is awesome! However, Airtel is not enabling 4G","awesome , Hittel enable",5,2016-12-01 00:00:00,32,13,45,9,2,0,,0,,0,4,ADV PUNCT PROPN NOUN,25.0,0.0,25.0,0.0,0.71,pos
101,The volume control button not working.,volume control button work .,1,2016-10-01 00:00:00,120,70,190,7,1,0,,0,,0,5,NOUN NOUN NOUN NOUN PUNCT,80.0,0.0,0.0,0.0,0.63,neu
102,Apple countinues to outperform with its new masterpiece,"shone 3gs generation . upgrade iphone year . People costly , honest justify   single penny spend . craftsman masterpiece . give clot feature flagship phone segment market , honestly think use feature real time usage . shone make regular task easy   simple primary focus user experience simple   useful possible . fluid   fast compare flagship phone available market . software   hardware work fearlessly user experience clot easy   faster . single core score outperform late flagship Google , samson   plus . 

 think upgrade worth mainly reason - 

 1 Camera lover love new 12 camera 1.8 aperture shone support low light photography   optical image stabilization include shone 7 . face camera 7 camera . - lead true tone flash . picture realistic   clear . good market right . 
 2 shone finally IP67 terrified - dust water resistant 
 3 memory - available 32128256 price previously 1664128 GB respectively . 
 4 New A10 fusion chip extremely fast   graphic output incredible like game console . 
 5 Battery increase 1715 1960 give 2 battery life . phone 1 entire day heavy usage . 
 6 shone 7 - core processor 2 GB RAM   shone plus 3 gb RAM . 
 7 Sterno speaker amazing good sound quality output . 

 introduction new colour shone rage give reason buy . personal favourite matter black Met black look appealing matter black , matter black prone scratch   figure print Met Black . 

 pre - order shone 7 time online site   Flipkart real amazing . deliver shone day release India people stand line outside store . 
 special give customer marbury   shoot customer expression undo iphone . 
 thank flipkart gesture . feel special customer . look forward buy electronic genuine product .",5,2016-10-01 00:00:00,50,25,75,470,27,0,,0,,0,277,PROPN ADJ NOUN PUNCT PROPN PROPN NOUN PUNCT NOUN ADJ PUNCT ADJ NOUN SPACE ADJ NOUN NOUN PUNCT PROPN PROPN PUNCT VERB NOUN NOUN NOUN NOUN NOUN NOUN PUNCT ADV VERB NOUN NOUN ADJ NOUN NOUN PUNCT NOUN VERB ADJ NOUN ADV SPACE ADJ ADJ NOUN NOUN NOUN ADJ SPACE ADJ ADJ PUNCT NOUN SPACE ADJ VERB NOUN NOUN ADJ NOUN PUNCT NOUN SPACE NOUN NOUN ADV VERB NOUN NOUN ADV SPACE ADV PUNCT ADJ NOUN NOUN ADP ADJ NOUN PROPN PUNCT PROPN SPACE CCONJ PUNCT SPACE VERB PROPN ADJ ADV NOUN PUNCT SPACE NUM PROPN NOUN VERB ADJ NUM NOUN NUM NOUN NOUN NOUN ADJ ADJ NOUN SPACE ADJ NOUN NOUN VERB NOUN NUM PUNCT NOUN NOUN NUM NOUN PUNCT PUNCT VERB ADJ NOUN NOUN PUNCT NOUN ADJ SPACE ADJ PUNCT ADJ NOUN ADV PUNCT SPACE NUM NOUN ADV PROPN ADJ PUNCT NOUN NOUN ADJ SPACE NUM NOUN PUNCT ADJ NUM NOUN ADV NUM PROPN ADV PUNCT SPACE NUM PROPN PROPN NOUN NOUN ADV ADV SPACE ADJ NOUN ADJ SCONJ NOUN NOUN PUNCT SPACE NUM PROPN NOUN NUM NUM VERB NUM NOUN NOUN PUNCT NOUN NUM ADJ NOUN ADJ NOUN PUNCT SPACE NUM VERB NUM PUNCT NOUN NOUN NUM PROPN PROPN SPACE NOUN CCONJ NUM PROPN PROPN PUNCT SPACE NUM PROPN NOUN ADJ ADJ ADJ NOUN NOUN PUNCT SPACE NOUN ADJ NOUN NOUN NOUN VERB NOUN NOUN PUNCT ADJ ADJ NOUN ADJ PROPN ADJ NOUN VERB NOUN ADJ PUNCT NOUN ADJ ADJ NOUN SPACE NOUN NOUN PROPN PROPN PUNCT SPACE ADJ NOUN NOUN NOUN NUM NOUN ADJ NOUN SPACE PROPN ADV ADJ PUNCT VERB VERB NOUN VERB PROPN NOUN VERB NOUN ADP NOUN PUNCT SPACE ADJ NOUN NOUN NOUN SPACE NOUN NOUN NOUN NOUN PROPN PUNCT SPACE VERB PROPN NOUN PUNCT VERB ADJ NOUN PUNCT VERB ADV VERB ADJ ADJ NOUN PUNCT,34.32,6.93,4.62,16.17,0.67,pos
103,Iphone is the best,buy black 256 excellent phone ... mind investment 3 year price worry free 3 year . Shone Build quality excellent .,5,2016-10-01 00:00:00,48,24,72,41,2,0,,0,,0,21,VERB ADJ NUM ADJ NOUN PUNCT NOUN NOUN NUM NOUN NOUN NOUN ADJ NUM NOUN PUNCT NOUN PROPN NOUN ADJ PUNCT,42.86,4.76,0.0,19.05,0.67,pos
104,iPhone 7!!,black good different colour,5,2016-10-01 00:00:00,63,34,97,8,1,0,,0,,0,4,ADJ ADJ ADJ NOUN,25.0,0.0,0.0,75.0,0.65,neu
105,Bcz it shows class,West Smartphone outstanding picture quality feel like royalty .,5,2018-01-01 00:00:00,14,4,18,10,1,0,,0,,0,9,PROPN PROPN ADJ NOUN NOUN VERB SCONJ NOUN PUNCT,33.33,11.11,0.0,11.11,0.78,neu
106,Wonderful,"good phone market right . totally justify investment . happy get genuine product review good . 
  thank flipkart sellersupercomnet deliver time .",5,2017-05-01 00:00:00,64,36,100,36,2,0,,0,,0,22,ADJ NOUN NOUN ADV PUNCT ADV VERB NOUN PUNCT ADJ VERB ADJ NOUN NOUN ADJ PUNCT SPACE VERB PROPN PROPN NOUN NOUN PUNCT,30.43,13.04,8.7,17.39,0.64,pos
107,Super!,"good phone . people price great , entirely true . shone 7 beautiful phone feature match reputation . yes expensive justify Apple know high quality phone . andro phone user experience shone way better build competition . 4 year old shone 5 work perfectly , day buy . sure work equally . change andro phone thrice 4 year not anna band . 
 
  Flipkart send day phone launch packing truly amazing send dairy milk chocolate . 
 
  Oats flirt retail .",5,2016-10-01 00:00:00,90,55,145,154,10,0,,0,,0,79,ADJ NOUN PUNCT NOUN VERB ADV PUNCT ADV ADJ PUNCT NOUN NUM ADJ NOUN NOUN NOUN NOUN PUNCT INTJ ADJ VERB PROPN VERB ADJ NOUN NOUN PUNCT NOUN NOUN NOUN NOUN VERB ADV ADV NOUN NOUN PUNCT NUM NOUN ADJ NOUN NUM NOUN ADV PUNCT NOUN VERB PUNCT ADJ VERB ADV PUNCT NOUN NOUN NOUN NOUN NUM NOUN PART PROPN NOUN PUNCT SPACE PROPN VERB NOUN NOUN NOUN VERB ADV ADJ VERB NOUN NOUN NOUN PUNCT SPACE NOUN NOUN NOUN PUNCT,41.98,11.11,8.64,9.88,0.62,pos
109,Super!,budget 30 want premium good performance . game u . gun use ff inst pp snapchat n mail tikhon etc . gun u . doesn matter 2016 launch u buy 2019 . trust good . u look phone not waste money . u buy 7,5,4 months ago,17,6,23,70,7,0,,0,,1,45,NOUN NUM VERB ADJ ADJ NOUN PUNCT NOUN PROPN PROPN NOUN NOUN PROPN PROPN PROPN NOUN ADJ NOUN PROPN X PUNCT PROPN PROPN PROPN PROPN PROPN NUM NOUN PRON NOUN NUM PUNCT VERB ADJ PUNCT PRON VERB NOUN PART VERB NOUN PUNCT PRON NOUN NUM,26.67,8.89,0.0,8.89,0.74,pos
113,Mind-blowing purchase,good trustworthy online webster flipkart fast delivery . vice phone problem ....,5,2017-05-01 00:00:00,13,4,17,18,2,0,,0,,0,12,PROPN PROPN ADJ PROPN PROPN ADJ NOUN PUNCT NOUN NOUN NOUN PUNCT,33.33,0.0,0.0,16.67,0.76,neu
114,Mind-blowing purchase,receive product .. nice packing excellent overall experience,5,2017-05-01 00:00:00,18,7,25,7,1,0,,0,,0,8,VERB NOUN PUNCT ADJ VERB ADJ ADJ NOUN,25.0,25.0,0.0,37.5,0.72,neu
115,battery,"battery life telephone deliver poor . 
  charge 84 % night morning phone switch use . 
  not know problem",1,2017-05-01 00:00:00,74,47,121,31,3,0,,0,,0,18,NOUN NOUN NOUN VERB ADJ PUNCT SPACE NOUN NUM NOUN NOUN NOUN NOUN NOUN NOUN PUNCT SPACE PART VERB NOUN,55.0,10.0,0.0,5.0,0.61,neu
116,Great product,Apple phone 7 price point 34999- buy thing ... West phone till date ... god pack . fully genuine product ... u want phone think ...,5,2018-10-01 00:00:00,43,24,67,37,1,0,,0,,0,26,PROPN NOUN NUM NOUN NOUN NUM NOUN NOUN PUNCT NOUN NOUN SCONJ NOUN PUNCT PROPN NOUN PUNCT ADV ADJ NOUN PUNCT PRON VERB NOUN VERB PUNCT,42.31,7.69,3.85,3.85,0.64,pos
118,Perfect product!,perfect camera perfect running battery phone hit problem,5,4 months ago,16,6,22,10,1,0,,0,,0,8,ADJ NOUN ADJ VERB NOUN NOUN NOUN NOUN,62.5,12.5,0.0,25.0,0.73,pos
119,A Worthy Upgrade from IPhone 6 Plus,"shift shone 7 shone 6 plus 
  3 feature standout 
  1 . loud Clear Speakers 
  2 . camera quality notch , tough competition Galaxy 
  3 . waterproof 
 
  worthy upgrade shone 6 plus",5,2016-10-01 00:00:00,161,120,281,38,4,0,,0,,0,31,PROPN VERB NUM NOUN NUM CCONJ SPACE NUM NOUN PROPN SPACE NUM PUNCT ADJ PROPN PROPN SPACE NUM PUNCT NOUN NOUN NOUN PUNCT ADJ NOUN PROPN SPACE NUM PUNCT PROPN SPACE ADJ NOUN VERB NUM CCONJ,19.44,5.56,0.0,8.33,0.57,neu
120,Terrific,thank Flipkart deliver product early . product worth spend . perfectly fit hand comfortable use . camera good genuine . battery average bad expect . enjoy .,5,2018-10-01 00:00:00,14,5,19,57,6,0,,0,,0,27,VERB PROPN VERB NOUN ADV PUNCT NOUN ADJ VERB PUNCT ADV ADJ NOUN ADJ NOUN PUNCT NOUN ADJ PROPN PUNCT NOUN ADJ ADJ VERB PUNCT VERB PUNCT,22.22,18.52,7.41,22.22,0.74,neu
124,"5 Star service, Awesome experience",Flipkart give good come quality delivery . thank make purchase easy effortable . star service offer . star Lawless service trust offer,5,2017-05-01 00:00:00,17,8,25,39,4,0,,0,,0,22,NOUN VERB ADJ NOUN NOUN NOUN PUNCT VERB VERB NOUN ADJ ADJ PUNCT PROPN NOUN NOUN PUNCT PROPN PROPN NOUN NOUN NOUN,45.45,13.64,0.0,13.64,0.68,pos
125,Terrific purchase,phone 7 128 Flipkart . personal experience good Flipkart . genuine product trust Flipkart .... snap deal amazon ....,5,2017-01-01 00:00:00,87,60,147,28,3,0,,0,,0,19,NOUN NUM NUM PROPN PUNCT ADJ NOUN ADJ PROPN PUNCT ADJ NOUN NOUN PROPN PUNCT VERB NOUN PROPN PUNCT,26.32,5.26,0.0,15.79,0.59,neu
126,Amazing service from Apple & Flipkart,"Time Delivery West Flipkart . 
 
  Amazing Real Flipkart . 
 
  come shone 7 . nice feel . 
 
  Apple good product know people want . feature hand . fan apple . 
 
  Flipkart deliver promise .",5,2016-10-01 00:00:00,46,28,74,46,8,0,,0,,0,33,PROPN PROPN PROPN PROPN PUNCT SPACE ADJ ADJ PROPN PUNCT SPACE VERB NOUN NUM PUNCT ADJ VERB PUNCT SPACE NOUN ADJ NOUN VERB NOUN VERB PUNCT NOUN NOUN PUNCT NOUN NOUN PUNCT SPACE PROPN VERB NOUN PUNCT,24.32,13.51,0.0,10.81,0.62,pos
127,Terrific,"big billion day 34,999 cash delivery .... thank flipkart shone 7 seriously beast ... camera ...",5,2018-10-01 00:00:00,264,215,479,19,2,0,,0,,0,16,PROPN NUM NOUN NUM NOUN NOUN PUNCT VERB PROPN NOUN NUM ADV NOUN PUNCT NOUN PUNCT,37.5,6.25,6.25,0.0,0.55,neu
128,Terrific purchase,"product usual good , thank good service lip , good 10 10 genuine product provide",5,2016-11-01 00:00:00,12,4,16,34,1,0,,0,,0,15,NOUN ADJ ADJ PUNCT VERB ADJ NOUN NOUN PUNCT ADJ NUM NUM ADJ NOUN VERB,26.67,13.33,0.0,33.33,0.75,neu
129,Awesome phone,"good 
   water resistant - huge improvement 
  increase speed noticeable w Fire . 
  capacity amazing move , video , book , photo , music etc have store loud like usually involve monthly fee . 
   decent size shone remain portable big 7 plus , fit pocket . 
  Ridge feature wipe right home screen improve allow editing . add delete feature key privacy able customize good thing . 
  lot add fun feature message sure updated software strictly shine 7 like mete , automatic reply able write w fingertip . 
  camera take well pick increase megapixel difference noticeable room capability . 
  fingerprint option quick access enter 6 digit pass code begin . 
  glimm shone 6 able stand convenient viewing . 
  speaker upgrade provide sterno audiophile standard . 
 
  bad 
  - headphone jack box include photo insect charge port provide headphone jack - bet long lose . know tireless headphone future happy old faithful headphone . 
  -the home button define . donna longer 24 take try activate home button . require right pressure despite offer different option , easy . gun Apple Tore need stop show - bright , think learn curve thing continue use care issue .",5,2016-10-01 00:00:00,85,62,147,333,19,0,,0,,0,192,ADJ SPACE NOUN ADJ PUNCT ADJ NOUN SPACE NOUN NOUN ADJ PROPN PROPN PUNCT SPACE NOUN ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN X AUX NOUN ADJ INTJ ADV VERB ADJ NOUN PUNCT SPACE ADJ NOUN NOUN VERB ADJ ADJ NUM CCONJ PUNCT ADJ NOUN PUNCT SPACE PROPN NOUN NOUN ADJ NOUN NOUN VERB VERB NOUN PUNCT VERB ADJ NOUN ADJ NOUN ADJ VERB ADJ NOUN PUNCT SPACE NOUN VERB NOUN NOUN NOUN ADV VERB NOUN ADV VERB NUM SCONJ NOUN PUNCT ADJ PROPN ADJ PROPN PROPN NOUN PUNCT SPACE NOUN VERB ADJ VERB NOUN NOUN NOUN ADJ NOUN NOUN PUNCT SPACE NOUN NOUN ADJ NOUN VERB NUM NOUN NOUN NOUN VERB PUNCT SPACE VERB NOUN NUM ADJ NOUN ADJ VERB PUNCT SPACE NOUN PROPN VERB NOUN NOUN NOUN PUNCT SPACE ADJ SPACE ADJ PROPN PROPN NOUN VERB PROPN VERB NOUN NOUN VERB PROPN PROPN PUNCT PROPN ADJ VERB PUNCT VERB NOUN NOUN ADJ ADJ ADJ ADJ NOUN PUNCT SPACE PUNCT NOUN NOUN NOUN PUNCT PROPN ADV NUM VERB NOUN VERB NOUN NOUN PUNCT VERB ADJ NOUN SCONJ VERB ADJ NOUN PUNCT ADJ PUNCT NOUN PROPN PROPN NOUN VERB NOUN PUNCT ADJ PUNCT VERB VERB NOUN NOUN VERB VERB NOUN NOUN PUNCT,33.66,14.63,1.95,16.59,0.58,pos
130,Just wow!,good .... design attract .. nd phone phone phone donna match level .,5,2018-10-01 00:00:00,21,10,31,17,1,0,,0,,0,13,ADJ PUNCT NOUN NOUN PUNCT PROPN NOUN NOUN NOUN NOUN NOUN NOUN PUNCT,61.54,0.0,0.0,7.69,0.68,pos
131,Don't waste your money,will not buy condition provide hand .,1,2017-10-01 00:00:00,20,11,31,10,1,0,,0,,0,7,VERB PART VERB NOUN VERB NOUN PUNCT,28.57,42.86,0.0,0.0,0.65,neu
132,iPhone 7 = iPhone 6S,big upgrade shone . feel,4,2016-10-01 00:00:00,52,35,87,11,2,0,,0,,0,5,ADJ PROPN NOUN PUNCT VERB,20.0,20.0,0.0,20.0,0.6,neu
133,Absolute rubbish!,"3 day dead suddenly charging unable power 
 
  dead give excellent performance phone 7 battery life ... 
  good looking 
  excellent delivery promise date .... 
  get 34999- valve money 
  get heat phone 
  phone dead th nov morning day delivery 
  happy ......... 
  help Flipkart",1,2018-11-01 00:00:00,9,2,11,73,1,0,,0,,0,41,NUM NOUN ADV ADV VERB ADJ NOUN SPACE ADV VERB ADJ NOUN NOUN NUM NOUN NOUN PUNCT SPACE ADJ NOUN SPACE ADJ NOUN NOUN NOUN PUNCT SPACE AUX NUM NOUN NOUN SPACE AUX NOUN NOUN SPACE NOUN ADJ PROPN PROPN PROPN PROPN NOUN SPACE ADJ PUNCT SPACE VERB PROPN,32.65,6.12,6.12,12.24,0.82,neu
138,Awesome,"phone - amazing phone-7 yes lot thing improve . 
  new tactic engine main button time adjust , issue .",5,2016-10-01 00:00:00,102,81,183,34,2,0,,0,,0,19,NOUN PUNCT ADJ PROPN INTJ NOUN NOUN VERB PUNCT SPACE ADJ ADJ NOUN ADJ NOUN NOUN NOUN PUNCT NOUN PUNCT,40.0,5.0,0.0,20.0,0.56,pos
139,Great Improvement in Customer Service,"initially bit upset rider didn deliver instead mark customer available , wait 2 hour delivery . , big thank Paul storage facility , ensue delivery 30 mind odd . 
 
  Final Review Satisfied y",5,2016-12-01 00:00:00,125,103,228,50,3,0,,0,,0,33,ADV NOUN ADJ NOUN PROPN VERB ADV NOUN NOUN ADJ PUNCT VERB NUM NOUN NOUN PUNCT PUNCT ADJ VERB PROPN NOUN NOUN PUNCT NOUN NOUN NUM NOUN ADJ PUNCT SPACE PROPN PROPN PROPN NOUN,35.29,8.82,5.88,11.76,0.55,pos
140,Must buy!,", apple product expensive buy , buy festive sale get 3500- instant discount Flipkart unfordable price 31499- . Com Express deliver 4 day . post review performance device 3 month .",5,2018-10-01 00:00:00,32,19,51,47,3,0,,0,,0,31,PUNCT NOUN NOUN ADJ NOUN PUNCT VERB ADJ NOUN VERB NUM ADJ NOUN PROPN ADJ NOUN NUM PUNCT PROPN PROPN VERB NUM NOUN PUNCT PROPN PROPN NOUN NOUN NUM NOUN PUNCT,32.26,9.68,0.0,12.9,0.63,neu
141,Best in the market!,awesome product ... speedy delivery time flipkart ... happy thank u flipkart,5,4 months ago,14,6,20,14,1,0,,0,,0,12,ADJ NOUN PUNCT ADJ NOUN NOUN NOUN PUNCT ADJ VERB PRON PROPN,33.33,8.33,0.0,25.0,0.7,pos
142,Looks genuine at a good deal.,"look Genuine , get 256 59k. good deal",5,2017-04-01 00:00:00,15,6,21,12,2,0,,0,,0,8,VERB ADJ PUNCT AUX NUM NOUN PUNCT ADJ NOUN,22.22,11.11,0.0,22.22,0.71,neu
143,TOOOO GOOOOOOD !!!!!!,"phone 7 superb expect . get upgrade early version phone feel difference . importantly Flipkart delivery excellent highly impressive . initially say deliver th , prepare th evening 20 minute phone office launch India , flipkart deliver home 720 pm th . faster friend get reliance outlet . 
 
  Flipkart , hat passionate team effort wish good . 
 
  come phone 7 , bit issue touch speaker hope service centre shall address .",5,2016-10-01 00:00:00,34,22,56,117,7,0,,0,,0,71,NOUN NUM PROPN VERB PUNCT AUX VERB ADJ NOUN NOUN VERB NOUN PUNCT ADV PROPN NOUN ADJ ADV ADJ PUNCT ADV VERB VERB X PUNCT VERB ADJ NOUN NUM NOUN NOUN NOUN NOUN PROPN PUNCT PROPN VERB ADV NUM NOUN X PUNCT ADJ NOUN VERB NOUN NOUN PUNCT SPACE PROPN PUNCT VERB ADJ NOUN NOUN VERB NOUN PUNCT SPACE VERB NOUN NUM PUNCT NOUN NOUN NOUN PROPN PROPN PROPN PROPN VERB VERB PUNCT,28.77,17.81,5.48,8.22,0.61,neu
144,Don't waste your money,"affected product , battery drain usage .",4,2017-11-01 00:00:00,20,11,31,5,1,0,,0,,0,7,ADJ NOUN PUNCT NOUN NOUN NOUN PUNCT,57.14,0.0,0.0,14.29,0.65,neu
145,Fabulous!,battery low overall performance great .,5,4 months ago,10,3,13,8,1,0,,0,,0,6,NOUN ADJ ADJ NOUN ADJ PUNCT,33.33,0.0,0.0,50.0,0.77,pos
146,Just wow!,Awasom smooth 12.1.2 awesome .... like butter offence andro user s fine new experience ....... a10 fusion rock,5,2018-12-01 00:00:00,22,13,35,35,3,0,,0,,0,18,NOUN VERB NUM ADJ PUNCT SCONJ NOUN PROPN PROPN PROPN PART ADJ ADJ NOUN PUNCT NOUN NOUN NOUN,33.33,5.56,0.0,16.67,0.63,pos
147,Absolute rubbish!,"phone worth half lake away color month , matter good . worth , color panel button show sign rage . link , Apple aware issue ... search paint whip Google",1,2017-06-01 00:00:00,79,70,149,49,3,0,,0,,0,30,NOUN PROPN PROPN NOUN ADV NOUN NOUN PUNCT NOUN ADJ PUNCT ADJ PUNCT NOUN NOUN NOUN NOUN NOUN NOUN PUNCT NOUN PUNCT PROPN ADJ NOUN PUNCT NOUN NOUN NOUN PROPN,53.33,0.0,3.33,10.0,0.53,neu
